ID,TotalValue,Borough,SchoolDistrict,Council,FireService,PolicePrct,HealthArea,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Class,LandUse,Easements,OwnerType,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Extension,Proximity,IrregularLot,LotType,BasementType,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,Built,HistoricDistrict,High
1006130003,147639,Manhattan,02,3,Squad,6,6400,Residential,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1792,3584,1183,2401,0,1183,0,0,0,0,1,3,2,3,35.83,50,35.83,25,Unknown,Attached,No,Inside,Full Basement Below Grade,No,2,2.43,0,4.8,18th Century,Yes,FALSE
1006130008,160629,Manhattan,02,3,Squad,6,6400,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,858,2040,0,2040,0,0,0,0,0,0,1,3,1,1,17.17,50,17.17,40,Unknown,Not Available,No,Inside,Full Basement Below Grade,No,2.38,2.43,0,4.8,18th Century,Yes,FALSE
1006130021,150957,Manhattan,02,3,Squad,6,6400,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1729,4000,0,3000,0,0,0,0,0,0,1,2,2,2,25,69.17,25,40,Unknown,Attached,No,Inside,Full Basement Above Grade,No,2.31,2.43,0,4.8,18th Century,Yes,FALSE
1006130033,163399,Manhattan,02,3,Squad,6,6400,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,2008,3760,0,2660,0,0,0,0,0,0,1,3,2,2,25,80,25,53,Extension,Attached,Yes,Inside,Full Basement Above Grade,No,1.87,2.43,0,4.8,18th Century,Yes,FALSE
1006130034,556530,Manhattan,02,3,Squad,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2088,8750,2000,6750,0,2000,0,0,0,0,1,5,10,10,25,95,25,70,Unknown,Attached,No,Inside,Full Basement Below Grade,No,4.19,2.43,0,4.8,Postwar,Yes,FALSE
1006130038,547357,Manhattan,02,3,Squad,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2516,6750,510,6240,0,510,0,0,0,0,1,4,4,4,34,74,34,64,Extension,Attached,No,Inside,Unknown,No,2.68,2.43,0,4.8,18th Century,Yes,FALSE
1006130066,26550,Manhattan,02,3,Squad,6,6100,Commercial,Missing,Missing,Missing,Retail,Commercial & Office Buildings,0,Unknown,35,35,35,0,0,35,0,0,0,0,1,1,0,1,12.5,7,12.5,7,Unknown,Semi-Attached,Yes,Inside,No Basement,No,1,3.44,2,6.5,18th Century,Yes,FALSE
1006140003,149918,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Private,1175,2480,0,1860,0,0,0,0,0,0,1,3,2,2,18.08,65,18.25,34,Unknown,Attached,No,Inside,Full Basement Above Grade,No,2.11,2.43,0,4.8,18th Century,Yes,FALSE
1006140009,422550,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1825,7145,0,7145,0,0,0,0,0,0,1,5,11,11,20,91.25,20,78,Unknown,Attached,No,Inside,Full Basement Below Grade,No,3.92,2.43,0,4.8,18th Century,Yes,FALSE
1006140039,186390,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1900,4256,0,3192,0,0,0,0,0,0,1,3,2,2,18.75,100,18.75,44,Extension,Attached,Yes,Inside,Full Basement Above Grade,No,2.24,2.43,0,4.8,18th Century,Yes,FALSE
1006140045,410277,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1400,6375,810,5565,0,810,0,0,0,0,1,5,9,10,25,56,25,52,Unknown,Semi-Attached,No,Corner,Full Basement Below Grade,No,4.55,2.43,0,4.8,18th Century,Yes,FALSE
1006140054,219967,Manhattan,02,3,Squad,6,6100,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Private,900,3300,0,3300,0,0,0,0,0,0,1,5,4,4,15,60,15,44,Unknown,Semi-Attached,No,Inside,Unknown,No,3.67,3.44,2,6.5,18th Century,Yes,FALSE
1006150002,177214,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1050,3200,0,3200,0,0,0,0,0,0,1,2.5,3,3,20,56,20,48,Extension,Attached,Yes,Inside,Full Basement Above Grade,No,3.05,2.43,0,4.8,18th Century,Yes,FALSE
1006150007,158256,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1503,3020,920,2100,0,920,0,0,0,0,1,3,2,3,20,75.17,20,42,Unknown,Attached,No,Inside,Full Basement Below Grade,No,2.01,2.43,0,4.8,18th Century,Yes,FALSE
1006150022,154312,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1722,4160,0,3120,0,0,0,0,0,0,1,3,3,3,20.67,83.33,20.67,42,Extension,Attached,Yes,Inside,Full Basement Above Grade,No,2.42,2.43,0,4.8,18th Century,Yes,FALSE
1006150042,432e3,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,1980,5066,0,3966,0,0,0,0,0,0,1,4,1,1,22,90.25,22,50,Unknown,Attached,Yes,Inside,Full Basement Above Grade,No,2.56,2.43,0,4.8,18th Century,Yes,FALSE
1006150056,868950,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2090,7095,0,7095,0,0,0,0,0,0,1,5,19,19,27.5,76,28,50,Unknown,Attached,No,Inside,Full Basement Below Grade,No,3.39,2.43,0,4.8,18th Century,Yes,FALSE
1006150060,130221,Manhattan,02,3,Squad,6,6100,Commercial,Residential,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1210,2618,1210,1408,0,1210,0,0,0,0,1,3,2,3,22,55,22,36,Extension,Semi-Attached,Yes,Corner,Full Basement Below Grade,No,2.16,3.44,2,6.5,18th Century,Yes,FALSE
1006150075,130221,Manhattan,02,3,Squad,6,6100,Commercial,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1180,3360,0,2520,0,0,0,0,0,0,1,3,2,2,20,60,20,42,Unknown,Semi-Attached,Yes,Inside,Full Basement Above Grade,No,2.85,3.44,2,6.5,18th Century,Yes,FALSE
1006180051,338564,Manhattan,02,3,Squad,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1562,3948,0,3948,0,0,0,0,0,0,1,4,4,4,20.83,75,21,47,Unknown,Attached,No,Inside,Full Basement Above Grade,No,2.53,2.43,0,4.8,18th Century,Yes,FALSE
1006180065,439603,Manhattan,02,3,Squad,6,6100,Commercial,Residential,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,2581,7735,3278,4457,3278,0,0,0,0,0,1,3,1,2,25,103.25,25,94,Unknown,Attached,No,Inside,Full Basement Below Grade,No,3,3.44,2,6.5,18th Century,Yes,FALSE
1006190006,116738,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1461,2628,867,1761,0,867,0,0,0,0,1,3,2,3,21.83,70,21.83,40,Unknown,Attached,Yes,Inside,Unknown,No,1.8,3.44,2,6.5,18th Century,Yes,FALSE
1006190012,168033,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,1044,3000,0,3000,0,0,0,0,0,0,1,2,1,1,20,52.21,20,49.6,Unknown,Attached,No,Inside,Full Basement Above Grade,No,2.87,3.44,2,6.5,18th Century,Yes,FALSE
1006190021,436533,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2362,6714,1700,5014,0,1700,0,0,0,0,1,4,6,7,21.5,95,22,95,Extension,Attached,Yes,Inside,Full Basement Below Grade,No,2.84,2.43,0,4.8,18th Century,Yes,FALSE
1006200061,874800,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2375,9545,0,9545,0,0,0,0,0,0,1,5,17,17,25,95,25,81,Unknown,Attached,No,Inside,Full Basement Below Grade,No,4.02,2.43,0,4.8,18th Century,Yes,FALSE
1006200062,174205,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,910,2984,0,2238,0,0,0,0,0,0,1,3,1,1,18.5,49.17,18.5,40.25,Unknown,Attached,No,Inside,Full Basement Above Grade,No,3.28,2.43,0,4.8,18th Century,Yes,FALSE
1006200064,198964,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,910,2880,0,2160,0,0,0,0,0,0,1,3,1,1,18.5,49.17,18.5,40,Unknown,Attached,No,Inside,Full Basement Above Grade,No,3.16,2.43,0,4.8,18th Century,Yes,FALSE
1006210006,322428,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1556,4068,618,3450,0,618,0,0,0,0,1,4,1,2,20.5,74.92,20,40,Extension,Attached,Yes,Inside,Unknown,No,2.61,3.44,2,6.5,18th Century,Yes,FALSE
1006210048,276900,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1900,2261,0,2261,0,0,0,0,0,0,1,3,2,2,20,95.08,20,52,Extension,Attached,No,Inside,Full Basement Below Grade,No,1.19,2.43,0,4.8,18th Century,Yes,FALSE
1006210052,209018,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1902,3840,0,2880,0,0,0,0,0,0,1,3,3,3,20,95.08,20,48,Unknown,Attached,No,Inside,Full Basement Above Grade,No,2.02,2.43,0,4.8,18th Century,Yes,FALSE
1006210062,459e3,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Religious,Public Facilities & Institutions,0,Mixed,1588,2457,2457,0,0,0,0,0,0,2457,1,2,0,1,20,79.42,20,70,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,1.55,2.43,0,4.8,18th Century,Yes,FALSE
1006210065,179158,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1905,3920,0,2940,0,0,0,0,0,0,1,3,2,2,20,95.25,20,45,Unknown,Attached,No,Inside,Full Basement Above Grade,No,2.06,2.43,0,4.8,18th Century,Yes,FALSE
1006210070,299261,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Private,1905,4155,0,4155,0,0,0,0,0,0,1,3,5,5,20,95.25,20,54,Extension,Attached,No,Inside,Unknown,No,2.18,2.43,0,4.8,18th Century,Yes,FALSE
1006220016,473990,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Unknown,1465,6760,1250,5510,0,1250,0,0,0,0,1,5,8,10,25.5,57.75,25,57,Extension,Semi-Attached,Yes,Corner,Full Basement Below Grade,No,4.61,3.44,2,6.5,18th Century,Yes,FALSE
1006220023,94555,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,960,2860,944,1916,0,944,0,0,0,0,1,3,2,3,19,50,19,50,Unknown,Attached,No,Corner,Unknown,No,2.98,3.44,2,6.5,18th Century,Yes,FALSE
1006220038,186924,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,2391,4890,0,4890,0,0,0,0,0,0,1,3,1,1,25.17,95,25,48,Unknown,Attached,Yes,Inside,Full Basement Above Grade,No,2.05,2.43,0,4.8,18th Century,Yes,FALSE
1006220069,151099,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1008,2520,0,2520,0,0,0,0,0,0,1,3,2,2,21.33,58,21.33,40,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,2.5,3.44,2,6.5,18th Century,Yes,FALSE
1006227502,66390,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Condo,Mixed Residential & Commercial Buildings,0,Unknown,504,1712,792,920,0,792,0,0,0,0,1,3,1,2,15.83,33,15.83,33,Unknown,Not Available,No,Mixed or Unknown,Unknown,No,3.4,3.44,2,6.5,18th Century,No,FALSE
1006230034,434411,Manhattan,02,3,Ladder,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1738,4350,0,4350,0,0,0,0,0,0,1,3,6,6,23.17,75,23,36,Unknown,Attached,No,Inside,Unknown,No,2.5,2.43,0,4.8,18th Century,Yes,FALSE
